instituion_city,institution_name,institution_state,institution_zipcode,transaction_date
menifee,mt san jacinto-menifee,ca,92584,
redwood city,canada college,ca,94061,
santa ana,santa ana college,ca,92706,
panama city,gulf coast state college,fl,32401-1041,
mount berry,berry college,ga,30149,
kahului maui,univ of hawaii maui college,hi,96732,
marion,indiana wesleyan u,in,46953,
newport,northern kentucky univ,ky,41099,
madison,north florida comm coll,fl,32340-1611,8/23/2017
dade city,pasco hernando st coll - east,fl,33525,8/23/2017
monticello,u of arkansas at monticello,ar,71655,8/23/2017
wesson,copiah-lincoln cc-wesson,ms,39191-0649,8/23/2017
bismarck,north dakota university system,nd,58505,8/23/2017
moberly,moberly area comm college,mo,65270-1304,8/23/2017
albuquerque,univ of new mexico,nm,87131,8/23/2017
spartanburg,spartanburg methodist coll,sc,29301,8/23/2017
long beach,cal state u - long beach,ca,90840,8/23/2017
nashville,belmont university,tn,37212-3758,8/23/2017
asheville,univ of nc - asheville,nc,28804-3024,8/23/2017
chattanooga,univ of tenn-chattanooga,tn,37403-2504,8/23/2017
kennesaw,kennesaw state university,ga,30144-5588,8/23/2017
greenville,east carolina univ,nc,27858,8/23/2017
san antonio,univ of texas - san antonio,tx,78249,8/23/2017
boise,boise state university,id,83725,8/23/2017
tulsa,tulsa comm coll-metro cmps,ok,74119,8/23/2017
winter haven,polk state coll - winter haven,fl,33881,8/23/2017
cedar falls,university of northern iowa,ia,50614-0012,8/23/2017
hillsboro,hill college - hillsboro campu,tx,76645,8/23/2017
charlotte,univ of nc - charlotte,nc,28223-0001,8/23/2017
baton rouge,louisiana state university,la,70803,8/23/2017
charlotte,ctrl piedmont cc - e 7th st,nc,28204-2019,8/23/2017
cedar rapids,kirkwood community college,ia,52404-5260,8/23/2017
chapel hill,univ of nc - chapel hill,nc,27599,8/23/2017
alexandria,no virginia cc - alexandria,va,22311,8/23/2017
fayetteville,fayetteville tech comm coll,nc,28303-4761,8/23/2017
coral gables,university of miami,fl,33146-2440,8/23/2017
chula vista,southwestern college,ca,91910,8/23/2017
boca raton,florida atlantic university,fl,33431-6424,8/23/2017
clemson,clemson university,sc,29634,8/23/2017
state university,arkansas state u-main,ar,72467,8/23/2017
raleigh,shaw university,nc,27601-2341,8/23/2017
san luis obispo,cuesta college,ca,93405,8/23/2017
archbold,northwest state c c,oh,43502-9517,8/23/2017
palatine,wm rainey harper college,il,60067-7373,8/23/2017
delaware,ohio wesleyan university,oh,43015-2333,8/23/2017
savannah,savannah technical college,ga,31405-5521,8/23/2017
springfield,missouri st univ-sprngfl,mo,65897-0027,8/23/2017
washington,howard university,dc,20059,8/23/2017
richmond,eastern kentucky university,ky,40475-3100,8/23/2017
london,kctcs-somerset-laurel north,ky,40741-6737,8/23/2017
west lafayette,purdue univ,in,47907,8/23/2017
caldwell,coll of western idaho,id,83605,8/23/2017
saint charles,st charles cty cmty college,mo,63301-4414,8/23/2017
arkadelphia,henderson state univ,ar,71999-0001,8/23/2017
davie,broward coll-central,fl,33314-1604,8/23/2017
lincoln,univ of nebraska - lincoln,ne,68588,8/23/2017
lexington,university of kentucky,ky,40506,8/23/2017
peoria,bradley university,il,61625-0001,8/23/2017
mankato,minnesota st univ-mankato,mn,56001,8/23/2017
evansville,univ of southern indiana,in,47712-3534,8/23/2017
mesquite,dallas cty comm coll,tx,75150,8/23/2017
notre dame,saint marys college - in,in,46556,8/23/2017
ridgecrest,cerro coso cmty college,ca,93555,8/23/2017
huntington,marshall university,wv,25755-0001,8/23/2017
louisville,university of louisville,ky,40292,8/23/2017
cleburn,hills college - cleburne,tx,76033,8/23/2017
troy,troy univ - main campus,al,36082,8/23/2017
springfield,ozarks tech comm college,mo,65802,8/23/2017
stockton,san joaquin delta college,ca,95207,8/23/2017
fullerton,cal state u - fullerton,ca,92831,8/23/2017
kirksville,truman state university,mo,63501-4200,8/23/2017
phoenix,phoenix college,az,85013,8/23/2017
sacramento,american river college,ca,95841,8/23/2017
houston,univ of houston,tx,77004,8/23/2017
pullman,washington state university,wa,99164,8/23/2017
charlottesville,university of virginia,va,22904,8/23/2017
cedar bluff,vccs - southwest va cc,va,24609-9364,8/23/2017
winona,winona state univ,mn,559875838,8/23/2017
norfolk,northeast community college,ne,68701-6831,8/23/2017
cincinnati,university of cincinnati,oh,45221-0001,8/23/2017
huntsville,sam houston state univ,tx,77340,8/23/2017
salem,corban university,or,97317-9392,8/23/2017
so holland,south suburban college,il,60473,8/23/2017
memphis,rhodes college,tn,38112-1624,8/23/2017
bowling green,bowling green state univ,oh,43403,8/23/2017
center valley,de sales university,pa,18034-9565,8/23/2017
glen ellyn,college of dupage,il,60137-6708,8/23/2017
rock hill,winthrop university,sc,29733-7001,8/23/2017
clinton,presbyterian college,sc,29325-2865,8/23/2017
bethlehem,northampton cmty coll,pa,18020-7568,8/23/2017
tuscaloosa,univ of ala-tuscaloosa,al,35487,8/23/2017
south charleston,bridgevalley ctc,wv,25303,8/23/2017
gainesville,university of florida,fl,32611,8/23/2017
columbia,univ of missouri-columbia,mo,65211,8/23/2017
leesburg,lake sumter state college,fl,34788-3950,8/23/2017
pleasant hill,diablo valley college,ca,94523,8/23/2017
wichita,wichita state university,ks,67260-9700,8/23/2017
fayetteville,u of arkansas-fayetteville,ar,72701,8/23/2017
neosho,crowder college,mo,64850-9165,8/23/2017
greenwood,lander university,sc,29649-2056,8/23/2017
curtis,university of nebraska,ne,69025-9525,8/23/2017
waleska,reinhardt college,ga,30183-2981,8/23/2017
decatur,east central community coll,ms,39327-8985,8/23/2017
springfield,wittenberg university,oh,45504-2534,8/23/2017
mount olive,university of mount olive,nc,28365-1263,8/23/2017
n charleston,trident tech coll,sc,29406-4607,8/23/2017
coeur d alene,north idaho college,id,83814,8/23/2017
pembroke pines,broward coll-south,fl,33024,8/23/2017
turlock,cal state u - stanislaus,ca,95382,8/23/2017
fresno,fresno city college,ca,93741,8/23/2017
chico,butte college - chico,ca,95928,8/23/2017
bakersfield,bakersfield college,ca,93305,8/23/2017
grand junction,colorado mesa university,co,81501-3122,8/23/2017
gainesville,santa fe college,fl,32606-6210,8/23/2017
belton,univ of mary hardin baylor,tx,76513,8/23/2017
kent,kent state university,oh,44242,8/23/2017
ames,iowa state university,ia,50011,8/23/2017
durham,north carolina central univ,nc,27707-3129,8/23/2017
denison,grayson county college,tx,75020,8/23/2017
auburn university,auburn u main campus,al,36849,8/23/2017
usaf academy,u s air force academy,co,80840,8/23/2017
los lunas,unm-main campus,nm,87031,8/23/2017
farmington,san juan college,nm,87402-4699,8/23/2017
mission,metropolitan community college,bc,v2v 3v5,8/23/2017
los angeles,univ of southern california,ca,90089,8/23/2017
anderson,anderson university,sc,29621-4002,8/23/2017
hattiesburg,u of southern mississippi,ms,39406-0001,8/23/2017
norfolk,norfolk state university,va,23504-8050,8/23/2017
normal,illinois state university,il,61790,8/23/2017
el dorado,butler co comm coll-el dora,ks,67042-3225,8/23/2017
fort worth,texas christian university,tx,76129,8/23/2017
las cruces,new mexico state university,nm,88003,8/23/2017
hilo,hawaii community college,hi,96720,8/23/2017
bowling green,western kentucky university,ky,42101-1000,8/23/2017
merced,merced college,ca,95348,8/23/2017
honolulu,univ of hawaii manoa campus,hi,96822,8/23/2017
bradenton,state coll of florida - bradenton,fl,34207-3522,8/23/2017
tampa,fl gulf coast chapter abc,fl,33607-3104,8/23/2017
ocala,college of central florida,fl,34474-4415,8/23/2017
bloomington,indiana univ bloomington,in,47405-7104,8/23/2017
statesboro,georgia southern university,ga,30460,8/23/2017
hammond,southeastern louisiana univ,la,70402,8/23/2017
amarillo,amarillo college,tx,79109-2411,8/23/2017
warren,macomb community college,mi,48088,8/23/2017
modesto,modesto junior college,ca,95350,8/23/2017
lake worth,palm beach state coll - lake worth,fl,33461-4705,8/23/2017
miami,fiu - university park campus,fl,33199,8/23/2017
butler,butler county cmty college,pa,16001,8/23/2017
brookings,south dakota state univ -br,sd,57007,8/23/2017
raleigh,north carolina state univ,nc,27695,8/23/2017
williston,williston state college,nd,58801-4464,8/23/2017
el reno,redlands community college,ok,73036,8/23/2017
cleburn,hill college - johnson campus,tx,76033,8/23/2017
tahlequah,northeastern state univ,ok,74464,8/23/2017
rocklin,sierra college,ca,95677,8/23/2017
newtown,bucks county cmty coll,pa,18940-4106,8/23/2017
arkadelphia,ouachita baptist university,ar,71998-0001,8/23/2017
waco,baylor university,tx,76798,8/23/2017
ste anne bellevu,john abbott college,qc,h9x 3l9,8/23/2017
lawrenceville,gwinnett technical college,ga,30043-5702,8/23/2017
tempe,arizona state university,az,85281,8/23/2017
union,east central college,mo,63084-0529,8/23/2017
san bruno,skyline college,ca,94066,8/23/2017
greensboro,north carolina a & st univ,nc,27411-0002,8/23/2017
plant city,hillsborough cmty coll pc,fl,33563-1540,8/23/2017
edwardsville,so illinois u-edwardsville,il,62026-0001,8/23/2017
cullowhee,western carolina university,nc,28723,8/23/2017
saint cloud,saint cloud state univ,mn,56301,8/23/2017
anchorage,univ of alaska - anchorage,ak,99508,8/23/2017
muncie,ball state university,in,47306-1022,8/23/2017
greeley,univ of northern colorado,co,80639,8/23/2017
omaha,creighton university,ne,68178-0001,8/23/2017
west columbia,midlands tech coll,sc,29170-2176,8/23/2017
montgomery,alabama state university,al,36104-5732,8/23/2017
coolidge,central arizona coll,az,85128,8/23/2017
cumberland,allegany college of maryland,md,215022596,8/23/2017
salt lake city,university of utah,ut,84112-9156,8/23/2017
plainview,wayland baptist university,tx,79072,8/23/2017
raleigh,wake technical comm coll,nc,27603-5655,8/23/2017
madison,dakota state university,sd,57042,8/23/2017
stillwater,oklahoma state university,ok,74078,8/23/2017
indianapolis,iupui,in,46202,8/23/2017
fort myers,florida gulf coast univ,fl,33965-6565,8/23/2017
virginia beach,tidewater cc-virginia beach,va,23453-1918,8/23/2017
tampa,hillsborough cc/admin,fl,33606,8/23/2017
tucson,university of arizona,az,85721,8/23/2017
denver,univ of colorado denver,co,80202,8/23/2017
honolulu,kapiolani community college,hi,96816,8/23/2017
minneapolis,minneapolis comm & tech coll,mn,55403-1710,8/23/2017
bloomington,normandale cmty college,mn,55431,8/23/2017
carrollton,west ga tech - carroll,ga,30116-6476,8/23/2017
columbus,columbus tech,ga,31904-6535,8/23/2017
muscle shoals,nw-shoals comm college-ms,al,35661,8/23/2017
west haven,university of new haven,ct,06516-1916,8/23/2017
lafayette,univ of louisiana - lafayette,la,70506,8/23/2017
leesburg,beacon college,fl,34748,8/23/2017
wichita falls,vernon college - wichita fall,tx,76308,8/23/2017
mesquite,eastfield college,tx,75150,8/23/2017
marietta,chattahoochee technical college,ga,30066,8/23/2017
hammond,northshore tech cc - hammond,la,70401-9501,8/23/2017
st george,dixie state university,ut,84770,8/23/2017
phoenix,arizona state univ - downtown,az,85004,8/23/2017
tucson,pima college downtown,az,85709,8/23/2017
springfield,ozarks technical college,mo,65802-3625,8/23/2017
mayville,mayville state university,nd,58257-1217,8/23/2017
fresno,cal state u - fresno,ca,93740,8/23/2017
university,university of mississippi,ms,38677,8/23/2017
poplar bluff,three rivers cmty college,mo,63901,8/23/2017
selma,wallace comm coll - selma,al,36703-2867,8/23/2017
omaha,univ of nebraska - omaha,ne,68182-2000,8/23/2017
sugar grove,waubonsee comm coll,il,60554,8/23/2017
morehead,morehead state university,ky,40351,8/23/2017
kansas city,univ missouri - kansas city,mo,64110-2446,8/23/2017
chandler,chandler-gilbert cc - chandler,az,85225,8/23/2017
athens,university of georgia,ga,30602,8/23/2017
manhattan,kansas state university,ks,66506,8/23/2017
bentonville,northwest arkansas cmty col,ar,72712,8/23/2017
orlando,univ of central florida,fl,32816-0001,8/23/2017
new port richey,pasco hernando st coll - npr,fl,34654,8/23/2017
dallas,southern methodist univ,tx,75205,8/23/2017
wahpeton,north dakota global online campus,nd,58076,8/23/2017
clearwater,st petersburg coll-clearwater,fl,33765-2816,8/23/2017
wilmington,cape fear community college,nc,28401-3910,8/23/2017
colorado springs,univ colorado-colorado sprg,co,80918,8/23/2017
wausau,north cntrl tech c-wausau,wi,54401-1880,8/23/2017
university park,penn state univ-univ park,pa,16802,8/23/2017
rock island,augustana college,il,61201,8/23/2017
tulsa,university of tulsa,ok,74104,8/23/2017
mankato,mankato state university,mn,56001,8/23/2017
macon,central ga tech - macon,ga,31206-3628,8/23/2017
dallas,gaston college,nc,28034-1402,8/23/2017
prescott,yavapai college,az,86301,8/23/2017
jacksonville,edward waters college,fl,32209-6167,8/23/2017
altamonte springs,seminole state - altamonte spring,fl,32714,8/23/2017
chico,cal state u - chico,ca,95929,8/23/2017
oroville,butte college,ca,95965,8/23/2017
pittsburg,los medanos college,ca,94565,8/23/2017
conway,univ of sc - coastal carolina,sc,29526,8/23/2017
south bend,ivy tech comm coll - south bend,in,46601-3415,8/23/2017
tyler,tyler junior college,tx,75701,8/23/2017
greensboro,univ of nc - greensboro,nc,27403,8/23/2017
tucson,pima college-west campus,az,85709,8/23/2017
melrose park,triton college,il,60160,8/23/2017
savannah,armstrong state university,ga,314191997,8/23/2017
portales,eastern nm univ - portales,nm,88130,8/23/2017
linn,state tech coll of missouri,mo,65051,8/23/2017
dallas,el centro college,tx,75202,8/23/2017
deerfield,trinity international univ,il,60015-1241,8/23/2017
brooksville,pasco-hernando st coll - north,fl,34601,8/23/2017
coconut creek,broward coll-north,fl,33066-1615,8/23/2017
poplarville,pearl river cc-poplarville,ms,39470-2216,8/23/2017
conway,coastal carolina university,sc,29526-8279,8/23/2017
keysville,vccs - southside va cc - daniel,va,23947-3559,8/23/2017
berea,baldwin wallace college,oh,44017-2005,8/23/2017
hickory,lenoir rhyne university,nc,28601,8/23/2017
apache junction,central az coll - apache junct,az,85119,8/23/2017
st louis,univ of missouri-st louis,mo,63121,8/23/2017
corning,corning cmty coll,ny,14830-3297,8/23/2017
visalia,college of the sequoias,ca,93277,8/23/2017
providence,rhode island college,ri,2908,8/23/2017
austin,austin c c - highland bus ctr,tx,78752,8/23/2017
cicero,morton college,il,60804-4300,8/23/2017
minot,minot state university,nd,58707-0001,8/23/2017
lawrence,university of kansas,ks,66045,8/23/2017
jacksonville,university of north florida,fl,32224-7699,8/23/2017
saint louis,st louis cc - forest park,mo,63110-1316,8/23/2017
greenwood,piedmont technical college,sc,29648-1467,8/23/2017
elgin,elgin community college,il,60123-7189,8/23/2017
greenville,greenville technical coll,sc,29607-2418,8/23/2017
ada,east central university,ok,74820,8/23/2017
mississippi stat,mississippi state univ,ms,39762,8/23/2017
lafayette,ivy tech comm coll - lafayette,in,47905-5241,8/23/2017
lake city,florida gateway college,fl,32025-2006,8/23/2017
rocky mount,nash community college,nc,27804-9708,8/23/2017
charleston,charleston southern univ,sc,29406-9121,8/23/2017
belleville,southwestern illinois college,il,62221-5859,8/23/2017
mesa,mesa community college,az,85202,8/23/2017
westminster,front range c c - westminster,co,80031,8/23/2017
dahlonega,univ of n georgia -dahlonega,ga,30597,8/23/2017
lake charles,mcneese state university,la,70609-0001,8/23/2017
north little rock,pulaski technical college,ar,72118-3347,8/23/2017
crystal lake,mchenry county college,il,60012-2738,8/23/2017
joplin,ozark christian college,mo,64801,8/23/2017
gaffney,limestone college gaffney,sc,29340-3778,8/23/2017
fredonia,state univ coll at fredonia,ny,14063-1127,8/23/2017
vermillion,university of south dakota,sd,57069-2307,8/23/2017
beaufort,tech coll of the low ctry,sc,29902-5441,8/23/2017
saint petersburg,univ of south florida st petersburg,fl,33701-5016,8/23/2017
scooba,east mississippi comm coll,ms,39358,8/23/2017
cocoa,eastern fl st coll - cocoa,fl,32922-6598,8/23/2017
new york,city college of cuny,ny,10031-9101,8/23/2017
kearney,u of nebraska-kearney,ne,68849-0001,8/23/2017
duluth,lake superior college,mn,55811-3349,8/23/2017
wesley chapel,pasco hernando st coll - porter,fl,33543,8/23/2017
san jacinto,mount san jacinto college,ca,92583,8/23/2017
salisbury,rowan cabarrus comm coll,nc,28146-8357,8/23/2017
charleston,college of charleston,sc,29424-0001,8/23/2017
milledgeville,georgia coll & state univ,ga,31061,8/23/2017
columbus,capital university,oh,43209,8/23/2017
meridian,meridian cc,ms,39307-5801,8/23/2017
albany,albany state university,ga,31705-2717,8/23/2017
chicago,depaul university,il,60614-3282,8/23/2017
san marcos,texas state univ - san marcos,tx,78666,8/23/2017
wildwood,st louis comm coll - wildwood,mo,63040-1168,8/23/2017
galesburg,carl sandburg coll-galesburg,il,61401-9574,8/23/2017
senatobia,northwest miss comm coll,ms,38668-1714,8/23/2017
fort wayne,in univ-purdue univ - ft wayne,in,46805,8/23/2017
augusta,georgia regents univ,ga,30904-4562,8/23/2017
albuquerque,univ of new mexico sch med,nm,87131,8/23/2017
spruce pine,mayland community college,nc,28777-8434,8/23/2017
tarpon springs,st petersburg coll-tarpon spg,fl,34689-1299,8/23/2017
fredericksburg,university of mary washington,va,22401-5300,8/23/2017
iowa city,university of iowa,ia,52242,8/23/2017
booneville,northeast miss cc,ms,38829-1726,8/23/2017
fargo,north dakota st university,nd,58102,8/23/2017
high point,high point university,nc,27262-4221,8/23/2017
hilo,univ of hawaii at hilo,hi,967204091,8/23/2017
aurora,metropolitan st univ of denver,co,80014,8/23/2017
tupelo,itawamba cc-tupelo,ms,38804-5981,8/23/2017
oceanside,mira costa college,ca,92056,8/23/2017
san diego,san diego miramar college,ca,92126,8/23/2017
pembroke,univ of nc - pembroke,nc,28372,8/23/2017
richland,wsu - tri cities,wa,99354-1671,8/23/2017
kutztown,kutztown university,pa,19530,8/23/2017
council bluffs,iowa wstn cc-council bluffs,ia,51503-1057,8/23/2017
wilmington,univ of nc - wilmington,nc,28403-3201,8/23/2017
hampden sydney,hampden-sydney college,va,23943,8/23/2017
fort smith,ua fort smith,ar,72904,8/23/2017
charleston,trident tech - palmer,sc,29403-5637,8/23/2017
morgantown,west virginia university,wv,26506,8/23/2017
lakeland,polk state coll - lakeland,fl,33803,8/23/2017
east peoria,illinois central college,il,61635-0001,8/23/2017
north las vegas,coll of s nv - cheyenne,nv,89030,8/23/2017
winchester,shenandoah university,va,22601-5100,8/23/2017
dover,del tech & cc - dover,de,19904-1383,8/23/2017
dickinson,dickinson state univ,nd,58601-4853,8/23/2017
st leo,saint leo university,fl,33574,8/23/2017
carbondale,so illinois univ-carbondale,il,62901,8/23/2017
columbus,ohio state univ - main,oh,43210,8/23/2017
weatherford,southwestern okla state unv,ok,73096,8/23/2017
los lunas,unm-valencia,nm,87031,8/23/2017
south bend,indiana univ - south bend,in,46615-1408,8/23/2017
fort collins,colorado st univ - ft collins,co,80523,8/23/2017
springfield,lincoln land cmty college,il,62794-9256,8/23/2017
crookston,university of minnesota - crookston,mn,56716-5000,8/23/2017
hays,fort hays state university,ks,67601-4009,8/23/2017
tallahassee,tallahassee community colle,fl,32304-2815,8/23/2017
farmville,longwood university,va,23909,8/23/2017
tampa,hillsborough cmty coll dm,fl,33614-7810,8/23/2017
arlington,univ of texas - arlington,tx,76019,8/23/2017
aurora,community coll of aurora,co,80011,8/23/2017
dayton,sinclair community college,oh,45402-1421,8/23/2017
atlanta,atlanta metro college,ga,30310-4448,8/23/2017
naples,southwest florida college,fl,33962,8/23/2017
lawrenceburg,ivy tech comm coll - lawrenceb,in,47025,8/23/2017
gary,indiana univ northwest,in,46408-1101,8/23/2017
hartford,connecticut state colleges & universities,ct,6105,8/23/2017
palatka,st johns river st coll - palatka,fl,32177-3807,8/23/2017
grand forks,university of north dakota,nd,58202,8/23/2017
overland park,johnson county cmty college,ks,66210,8/23/2017
middletown,lord fairfax cc - middletown,va,22645-1745,8/23/2017
athens,ohio university - athens,oh,45701,8/23/2017
savannah,savannah state university,ga,31404-5254,8/23/2017
san jose,san jose state university,ca,95192,8/23/2017
detroit,wayne state university,mi,48202,8/23/2017
bettendorf,scott comm coll,ia,52722-5649,8/23/2017
rochester,rochester comm & tech coll,mn,55904-4915,8/23/2017
laredo,texas a & m international u,tx,78041,8/23/2017
new albany,indiana univ-southeast cmp,in,47150-2158,8/23/2017
knoxville,university of tennessee,tn,37996-0341,8/23/2017
smithfield,johnston community college,nc,27577-2350,8/23/2017
denton,texas womans university,tx,76204,8/23/2017
yuma,arizona western college,az,85365,8/23/2017
arcata,humboldt state university,ca,95521,8/23/2017
west columbia,midlands tech c-airport,sc,29170-2176,8/23/2017
adrian,adrian college,mi,49221-2518,8/23/2017
mc kenzie,bethel univ - mckenzie,tn,38201-1769,8/23/2017
oglesby,ill valley comm coll,il,61348-9692,8/23/2017
philadelphia,la salle university,pa,19141-1108,8/23/2017
pleasanton,chabot-las positas cc,ca,94588,8/23/2017
nelsonville,hocking college,oh,45764-9582,8/23/2017
shalimar,univ of florida-gainesville,fl,32579-1163,8/23/2017
palos hills,moraine valley cmty coll,il,60465-1444,8/23/2017
fredericksburg,germanna comm coll,va,22408,8/23/2017
newark,del tech stanton/newark,de,19713-2111,8/23/2017
las vegas,new mexico highlands univ,nm,87701,8/23/2017
white bear lake,century comm tech college,mn,55110-1842,8/23/2017
richmond,indiana univ east,in,47374-1220,8/23/2017
roswell,eastern nm univ - roswell,nm,88201,8/23/2017
salt lake city,salt lake community college,ut,84123,8/23/2017
perrysburg,owens community college,oh,43551,8/23/2017
joliet,joliet junior college,il,60431-8938,8/23/2017
tucson,pima cc - comm campus,az,857096000,8/23/2017
universal city,accd - ne lakeview campus,tx,78148,8/23/2017
lancaster,univ of sc - lancaster,sc,29720-5615,8/23/2017
morganton,western piedmont cc,nc,28655-4504,8/23/2017
tuscaloosa,shelton state cc,al,35405-8522,8/23/2017
monterey park,east los angeles coll - mp,ca,91754,2/10/2015
worcester,worcester state university,ma,01602-2861,2/10/2015
boulder,univ of colorado boulder,co,80309,2/10/2015
pasadena,pasadena city college,ca,91106,2/10/2015
toledo,university of toledo,oh,43606-3328,2/10/2015
edison,middlesex cnty coll-edison,nj,8818,2/10/2015
bronx,bronx community college,ny,10453-2804,2/10/2015
beeville,coastal bend college,tx,78102,2/10/2015
tulsa,tulsa comm coll se,ok,74133,2/10/2015
college station,texas a & m univ - college stn,tx,77843,2/10/2015
college park,univ maryland college park,md,20742,2/10/2015
huntington beach,golden west college,ca,92647,2/10/2015
warwick,cmty coll of r i-warwick,ri,02886-1805,2/10/2015
palm desert,college of the desert,ca,92260,2/10/2015
rochester,rochester inst of tech,ny,14623-5603,2/10/2015
valencia,college of the canyons,ca,91355,2/10/2015
rockville,montgomery coll-rockville,md,20855-2811,2/10/2015
york,hacc york,pa,17404,2/10/2015
houston,univ of houston-downtown,tx,77002,2/10/2015
austin,univ of texas - austin,tx,78712,2/10/2015
baltimore,maryland inst coll of art,md,21217-4134,2/10/2015
saint petersburg,st petersburg coll-st pete/gib,fl,33710-6801,2/10/2015
san diego,san diego state university,ca,92182,2/10/2015
san diego,san diego mesa college,ca,92111,2/11/2015
irvine,irvine valley college,ca,92618,2/11/2015
menifee,mt san jacinto coll - menifee,ca,92584,2/11/2015
san marcos,palomar college,ca,92069,2/11/2015
new york,new york university,ny,10012,2/11/2015
oregon city,clackamas community college,or,97045,2/11/2015
baltimore,university of maryland-baltimore cty,md,21250-0001,2/11/2015
alice,coastal bend coll/alice cmp,tx,78332,2/11/2015
portsmouth,tidewater cc-portsmouth,va,23701,2/11/2015
flagstaff,northern arizona university,az,86011,2/11/2015
holyoke,holyoke comm coll,ma,01040-1091,2/11/2015
paramus,bergen community college,nj,07652-1508,2/11/2015
nashville,lipscomb university,tn,37204,2/11/2015
trinidad,trinidad state jr college,co,81082,2/11/2015
millersville,millersville university,pa,17551,2/11/2015
indianapolis,ivy tech comm coll - central,in,46208-5752,2/11/2015
burlington,univ of vermont,vt,05405-0001,2/11/2015
lynnwood,edmonds cmty coll-lynnwood,wa,98036,2/11/2015
teaneck,fdu teaneck,nj,7666,2/11/2015
carrollton,univ of west ga - carrollton,ga,30118-0001,2/11/2015
des plaines,oakton community college,il,60016-1234,2/11/2015
reedley,reedley clg,ca,93654,2/11/2015
sweet briar,sweet briar college,va,24595-5001,2/11/2015
ypsilanti,eastern michigan univ,mi,48197,2/11/2015
terre haute,indiana state university,in,47809-1902,2/11/2015
saint petersburg,eckerd college,fl,33711-4744,2/11/2015
albany,university at albany,ny,12222-0001,2/11/2015
cincinnati,xavier university,oh,45207-1035,2/11/2015
spearfish,black hills state univ,sd,57799-8840,2/11/2015
tucson,pima comm coll/desert vista,az,857096000,2/11/2015
dearborn,univ of michigan-dearborn,mi,48128-2406,2/11/2015
casper,university of wyoming,wy,82601,2/11/2015
dekalb,northern illinois univ,il,60115,2/11/2015
norfolk,tidewater comm coll/norfolk,va,23510-1910,2/11/2015
valley glen,los angeles valley college,ca,914014096,2/11/2015
worcester,clark university,ma,1610,2/11/2015
cheney,eastern washington univ,wa,99004,2/12/2015
avon park,south florida state coll,fl,33825,2/12/2015
west barnstable,cape cod comm coll,ma,02668-1532,2/12/2015
russellville,arkansas tech university,ar,72801,2/12/2015
chesapeake,tidewater cc-chesapeake,va,23322-7108,2/12/2015
irving,univ of dallas,tx,75062,2/12/2015
norfolk,george washington univ,va,23502,2/12/2015
glendale,arizona state univ - west,az,85306-4908,2/12/2015
poughkeepsie,marist college,ny,12601-1350,2/12/2015
kalamazoo,western michigan univ,mi,49008,2/12/2015
delhi,suny - delhi,ny,13753,2/12/2015
